transcript_id,SRR066643,SRR066644,SRR066645,SRR066646,SRR066647,SRR066648
Cre01.g000150_4532.2.v6.1,9,22,7,0,0,0
Cre01.g000150_4532.3.v6.1,4,5,31,1,0,1
Cre01.g000150_4532.4.v6.1,4,6,31,1,3,2
Cre01.g000200_4532.2.v6.1,161,57,148,109,86,119
Cre01.g000250_4532.1.v6.1,97,130,102,121,178,150
Cre01.g000300_4532.1.v6.1,268,202,359,996,1109,1115
Cre01.g000350_4532.2.v6.1,241,259,179,128,150,184
Cre01.g000350_4532.4.v6.1,10,17,37,35,9,13
Cre01.g000350_4532.3.v6.1,28,43,63,0,25,38
Cre01.g000350_4532.1.v6.1,16,17,88,0,20,24
Cre01.g000400_4532.1.v6.1,141,158,112,78,99,87
Cre01.g000450_4532.1.v6.1,92,106,88,121,111,63
Cre01.g000500_4532.1.v6.1,43,56,79,42,32,42
Cre01.g000550_4532.2.v6.1,6,4,5,6,5,3
Cre01.g000600_4532.1.v6.1,119,184,80,87,205,172
Cre01.g001600_4532.1.v6.1,54,47,43,40,46,42
Cre01.g001550_4532.2.v6.1,0,0,0,0,0,0
Cre01.g001501_4532.1.v6.1,12,14,11,12,16,18
Cre01.g001550_4532.1.v6.1,244,316,285,260,305,433
Cre01.g001550_4532.3.v6.1,117,8,25,28,147,91
Cre01.g001550_4532.4.v6.1,13,65,50,33,17,17
Cre01.g001550_4532.5.v6.1,5,32,37,29,9,8
Cre01.g000950_4532.1.v6.1,0,4,0,4,0,4
Cre01.g001200_4532.2.v6.1,0,0,0,0,0,0
Cre01.g001000_4532.1.v6.1,33,59,15,0,0,3
Cre01.g001100_4532.2.v6.1,4,385,207,26,18,16
Cre01.g001100_4532.1.v6.1,656,538,150,172,222,237
Cre01.g001150_4532.1.v6.1,153,124,153,112,163,217
Cre01.g001200_4532.1.v6.1,62,101,132,8,13,12
Cre01.g001657_4532.2.v6.1,0,0,0,0,0,0
Cre01.g001650_4532.1.v6.1,6,13,4,11,5,8
Cre01.g001657_4532.1.v6.1,24,27,23,10,27,18
Cre01.g800000_4532.1.v6.1,713,677,383,448,515,532
Cre01.g800001_4532.2.v6.1,19,33,23,41,16,22
Cre01.g800001_4532.1.v6.1,15,2,11,1,21,11
Cre01.g002650_4532.1.v6.1,0,1,0,0,0,0
Cre01.g002750_4532.1.v6.1,14,12,25,20,18,19
Cre01.g002700_4532.2.v6.1,0,2,0,0,0,0
Cre01.g002700_4532.1.v6.1,42,56,51,35,52,51
Cre01.g003475_4532.1.v6.1,0,0,3,0,0,0
Cre01.g003463_4532.1.v6.1,217,305,127,125,139,151
Cre01.g003516_4532.1.v6.1,112,92,250,68,116,100
Cre01.g003500_4532.2.v6.1,0,0,0,0,4,0
Cre01.g003487_4532.1.v6.1,53,67,68,47,59,64
Cre01.g003500_4532.1.v6.1,133,152,123,72,134,148
Cre01.g800006_4532.2.v6.1,0,0,0,0,0,0
Cre01.g003524_4532.1.v6.1,222,253,323,281,304,374
Cre01.g800006_4532.1.v6.1,76,75,107,79,83,100
Cre01.g003550_4532.1.v6.1,131,102,126,48,227,85
Cre01.g003550_4532.3.v6.1,59,43,83,125,139,88
Cre01.g003550_4532.2.v6.1,76,0,0,143,0,190
Cre01.g003550_4532.4.v6.1,33,24,14,4,6,18
Cre01.g003650_4532.2.v6.1,0,0,0,50,63,0
Cre01.g003650_4532.3.v6.1,0,0,45,0,0,0
Cre01.g003650_4532.4.v6.1,0,35,0,23,0,15
Cre01.g003650_4532.1.v6.1,89,88,24,50,54,80
Cre01.g003650_4532.6.v6.1,32,9,40,22,27,63
Cre01.g003650_4532.5.v6.1,23,22,1,22,15,17
Cre01.g003650_4532.7.v6.1,22,26,10,35,42,9
Cre01.g003700_4532.1.v6.1,0,0,0,0,3,17
Cre01.g003700_4532.3.v6.1,0,0,38,0,0,74
Cre01.g003700_4532.2.v6.1,55,51,11,58,66,0
Cre01.g003751_4532.1.v6.1,10,11,17,12,11,14
Cre01.g800005_4532.2.v6.1,0,0,44,0,0,17
Cre01.g800005_4532.3.v6.1,0,44,13,0,0,9
Cre01.g003000_4532.2.v6.1,0,12,0,3,12,5
Cre01.g003050_4532.2.v6.1,0,0,0,0,35,39
Cre01.g003450_4532.2.v6.1,0,0,0,45,0,0
Cre01.g002787_4532.1.v6.1,250,183,233,131,153,197
Cre01.g800005_4532.1.v6.1,95,86,78,114,129,96
Cre01.g800005_4532.4.v6.1,50,12,8,0,0,45
Cre01.g002900_4532.1.v6.1,3,13,5,0,0,1
Cre01.g002950_4532.2.v6.1,7,12,3,26,42,25
Cre01.g002950_4532.1.v6.1,63,91,70,23,19,37
Cre01.g003000_4532.1.v6.1,18,1,7,9,0,15
Cre01.g003050_4532.1.v6.1,39,56,24,24,0,0
Cre01.g003100_4532.1.v6.1,8,0,0,0,0,0
Cre01.g003150_4532.1.v6.1,125,125,77,150,176,187
Cre01.g003200_4532.1.v6.1,51,73,24,0,0,0
Cre01.g003200_4532.2.v6.1,23,0,35,39,38,28
Cre01.g003250_4532.1.v6.1,11,10,11,13,16,17
Cre01.g003300_4532.1.v6.1,4,0,0,0,0,0
Cre01.g003376_4532.1.v6.1,145,199,59,218,268,238
Cre01.g003376_4532.2.v6.1,10,5,0,11,12,45
Cre01.g003450_4532.1.v6.1,59,89,79,21,79,80
Cre01.g003800_4532.3.v6.1,0,0,0,0,0,0
Cre01.g003800_4532.4.v6.1,0,0,73,0,73,0
Cre01.g003800_4532.2.v6.1,165,60,0,63,0,0
Cre01.g003800_4532.1.v6.1,32,148,30,33,25,103
Cre01.g003800_4532.5.v6.1,77,0,34,0,51,0
Cre01.g003800_4532.6.v6.1,120,205,137,112,87,100
Cre01.g800007_4532.1.v6.1,2,2,0,3,3,3
Cre01.g001800_4532.2.v6.1,0,0,0,0,0,0
Cre01.g001800_4532.3.v6.1,0,0,0,0,0,0
Cre01.g001983_4532.3.v6.1,0,0,0,0,0,0
Cre01.g002150_4532.2.v6.1,0,1,0,0,0,0
Cre01.g800004_4532.2.v6.1,0,0,21,0,0,0
Cre01.g800004_4532.1.v6.1,0,6,0,0,5,31
Cre01.g002400_4532.3.v6.1,0,154,12,0,0,56
Cre01.g002400_4532.2.v6.1,0,0,21,0,0,0
Cre01.g002550_4532.2.v6.1,0,8,8,8,7,10
Cre01.g002600_4532.1.v6.1,0,0,0,0,0,0
Cre01.g001664_4532.1.v6.1,14,12,8,0,0,0
Cre01.g001678_4532.1.v6.1,137,118,110,125,167,156
Cre01.g001700_4532.1.v6.1,106,123,162,161,184,123
Cre01.g001750_4532.1.v6.1,423,538,339,271,283,245
Cre01.g001750_4532.2.v6.1,21,38,44,19,16,15
Cre01.g001800_4532.1.v6.1,163,174,183,188,183,193
Cre01.g001950_4532.1.v6.1,81,69,77,108,108,106
Cre01.g001983_4532.1.v6.1,46,361,370,279,304,28
Cre01.g001983_4532.2.v6.1,391,0,0,0,0,222
Cre01.g002050_4532.1.v6.1,156,133,113,133,140,122
Cre01.g002100_4532.1.v6.1,20,29,6,16,21,16
Cre01.g002100_4532.3.v6.1,18,12,18,4,10,4
Cre01.g002100_4532.2.v6.1,19,12,10,23,11,22
Cre01.g002100_4532.4.v6.1,18,11,1,20,12,27
Cre01.g002100_4532.5.v6.1,8,7,10,14,10,20
Cre01.g002150_4532.1.v6.1,36,60,23,6,3,5
Cre01.g800002_4532.1.v6.1,152,236,93,86,104,120
Cre01.g002200_4532.1.v6.1,17,18,26,5,23,26
Cre01.g800003_4532.1.v6.1,1,0,0,2,2,5
Cre01.g002201_4532.1.v6.1,28,46,20,15,22,29
Cre01.g002227_4532.2.v6.1,4,0,0,0,6,0
Cre01.g002227_4532.1.v6.1,22,23,21,27,37,32
Cre01.g800004_4532.3.v6.1,48,39,10,67,82,32
Cre01.g002250_4532.1.v6.1,63,63,96,77,101,137
Cre01.g002250_4532.2.v6.1,11,5,5,5,4,4
Cre01.g002300_4532.1.v6.1,4087,5456,1482,1374,1521,1396
Cre01.g002300_4532.2.v6.1,124,33,0,0,0,0
Cre01.g002300_4532.3.v6.1,58,0,0,29,0,0
Cre01.g002350_4532.1.v6.1,178,180,122,142,141,143
Cre01.g002400_4532.1.v6.1,248,94,220,61,97,55
Cre01.g002500_4532.1.v6.1,840,1473,1709,437,493,518
Cre01.g002550_4532.1.v6.1,48,63,92,83,95,80
Cre01.g002550_4532.3.v6.1,8,3,2,3,2,3
Cre01.g003950_4532.3.v6.1,0,0,0,0,0,481
Cre01.g003850_4532.1.v6.1,942,604,313,74,86,31
Cre01.g003950_4532.2.v6.1,1217,197,943,1412,1662,739
Cre01.g003950_4532.1.v6.1,291,20,373,282,330,271
Cre01.g004000_4532.1.v6.1,113,133,230,69,86,89
Cre01.g004124_4532.2.v6.1,0,403,266,0,0,0
Cre01.g004124_4532.1.v6.1,424,300,417,276,303,311
Cre01.g004124_4532.3.v6.1,113,25,0,0,0,0
Cre01.g004157_4532.2.v6.1,0,115,0,0,0,0
Cre01.g004157_4532.4.v6.1,0,0,0,0,0,0
Cre01.g004157_4532.5.v6.1,0,0,0,0,0,0
Cre01.g004157_4532.6.v6.1,0,0,0,0,0,0
Cre01.g004157_4532.7.v6.1,0,0,0,0,0,0
Cre01.g004200_4532.2.v6.1,0,0,0,0,0,0
Cre01.g004157_4532.1.v6.1,187,0,128,126,146,166
Cre01.g004157_4532.3.v6.1,8,0,0,11,9,0
Cre01.g004200_4532.1.v6.1,72,98,110,83,93,108
Cre01.g004250_4532.1.v6.1,49,64,51,40,37,40
Cre01.g004300_4532.1.v6.1,1480,2098,913,1060,1113,913
Cre01.g004350_4532.1.v6.1,328,344,328,482,462,390
Cre01.g004651_4532.1.v6.1,71,63,77,54,59,47
Cre01.g004700_4532.1.v6.1,13,10,5,2,0,0
Cre01.g004750_4532.2.v6.1,0,0,0,0,10,16
Cre01.g004750_4532.1.v6.1,9,3,16,77,68,76
Cre01.g004600_4532.10.v6.1,0,0,0,0,0,0
Cre01.g004600_4532.11.v6.1,0,0,0,0,0,0
Cre01.g004600_4532.12.v6.1,0,0,0,0,0,0
Cre01.g004600_4532.2.v6.1,0,0,0,0,37,147
Cre01.g004600_4532.3.v6.1,0,0,0,0,0,0
Cre01.g004600_4532.4.v6.1,0,0,230,517,0,557
Cre01.g004600_4532.5.v6.1,0,0,0,0,0,0
Cre01.g004600_4532.6.v6.1,0,468,0,0,0,0
Cre01.g004600_4532.8.v6.1,0,0,0,0,0,0
Cre01.g004600_4532.13.v6.1,0,0,0,0,0,0
Cre01.g004600_4532.7.v6.1,478,0,0,0,0,0
Cre01.g004600_4532.9.v6.1,283,0,0,0,0,0
Cre01.g004600_4532.1.v6.1,61,309,689,99,791,84
Cre01.g004600_4532.14.v6.1,98,10,16,58,78,22
Cre01.g004600_4532.15.v6.1,64,9,13,44,0,12
Cre01.g004400_4532.1.v6.1,48,111,46,20,16,21
Cre01.g004450_4532.1.v6.1,1145,1308,984,115,127,104
Cre01.g004450_4532.2.v6.1,29,14,15,0,0,0
Cre01.g004500_4532.1.v6.1,1723,1577,1613,1760,2080,2120
Cre01.g004500_4532.2.v6.1,82,111,80,81,36,37
Cre01.g004550_4532.1.v6.1,121,125,128,126,137,184
Cre01.g004800_4532.1.v6.1,726,512,422,3595,4017,3762
Cre01.g004850_4532.1.v6.1,36,27,39,33,37,38
Cre01.g800008_4532.1.v6.1,1,1,0,1,1,1
Cre01.g004900_4532.1.v6.1,406,207,239,724,684,621
Cre01.g004900_4532.2.v6.1,11,6,20,7,5,23
Cre01.g800009_4532.1.v6.1,0,1,1,0,0,0
Cre01.g004950_4532.1.v6.1,356,352,276,325,333,333
Cre01.g005001_4532.1.v6.1,128,129,122,230,232,234
Cre01.g005200_4532.3.v6.1,0,0,0,0,0,0
Cre01.g005200_4532.2.v6.1,39,25,53,66,95,103
Cre01.g005200_4532.1.v6.1,3,0,3,22,0,0
Cre01.g005400_4532.1.v6.1,0,0,0,0,0,0
Cre01.g005450_4532.2.v6.1,0,18,14,0,7,12
Cre01.g005400_4532.2.v6.1,6,5,0,0,0,0
Cre01.g005450_4532.1.v6.1,87,122,106,71,69,70
Cre01.g005651_4532.1.v6.1,0,3,0,4,4,8
Cre01.g005651_4532.2.v6.1,0,0,0,0,0,0
Cre01.g005500_4532.2.v6.1,0,24,7,0,30,10
Cre01.g005500_4532.3.v6.1,0,22,6,0,13,12
Cre01.g005500_4532.1.v6.1,171,137,176,135,149,158
Cre01.g005550_4532.1.v6.1,21,26,31,45,35,27
Cre01.g005600_4532.1.v6.1,8,10,15,8,12,14
Cre01.g006000_4532.1.v6.1,30,26,84,91,95,125
Cre01.g800011_4532.1.v6.1,3,2,1,1,1,1
Cre01.g006050_4532.1.v6.1,153,147,227,201,293,260
Cre01.g006050_4532.2.v6.1,31,0,11,25,0,50
Cre01.g006100_4532.1.v6.1,33,47,32,30,44,41
Cre01.g006150_4532.1.v6.1,207,237,348,317,374,375
Cre01.g005701_4532.1.v6.1,0,0,0,12,0,3
Cre01.g005701_4532.4.v6.1,0,0,0,0,0,0
Cre01.g005701_4532.2.v6.1,10,0,0,0,0,0
Cre01.g005701_4532.3.v6.1,8,26,10,0,12,5
Cre01.g005750_4532.1.v6.1,12,17,26,0,0,18
Cre01.g005813_4532.1.v6.1,48,39,20,24,28,18
Cre01.g800010_4532.1.v6.1,2,0,1,0,0,0
Cre01.g005850_4532.1.v6.1,304,375,70,56,74,76
Cre01.g005900_4532.2.v6.1,32,31,23,66,32,53
Cre01.g005900_4532.1.v6.1,41,46,56,42,76,69
Cre01.g005950_4532.2.v6.1,165,90,57,38,35,27
Cre01.g005950_4532.1.v6.1,513,424,296,71,151,137
Cre01.g005950_4532.3.v6.1,74,43,59,62,39,31
Cre01.g006450_4532.1.v6.1,1,1,1,3,3,3
Cre01.g006600_4532.1.v6.1,1,1,1,1,1,1
Cre01.g800012_4532.1.v6.1,1,1,1,1,1,1
Cre01.g800013_4532.1.v6.1,1,1,1,1,1,1
Cre01.g800014_4532.1.v6.1,2,1,1,1,1,1
Cre01.g800015_4532.1.v6.1,1,1,1,1,1,2
Cre01.g800016_4532.1.v6.1,2,1,1,1,1,1
Cre01.g800017_4532.1.v6.1,1,1,1,1,1,2
Cre28.g757647_4532.1.v6.1,1,0,0,0,0,1
Cre28.g757747_4532.1.v6.1,2,2,1,1,2,2
Cre01.g800018_4532.1.v6.1,1,1,1,1,1,1
Cre01.g800019_4532.1.v6.1,1,1,1,1,1,1
Cre01.g800020_4532.1.v6.1,2,3,2,4,5,2
Cre01.g800022_4532.1.v6.1,1,0,0,1,1,1
Cre28.g757547_4532.1.v6.1,2,1,1,2,2,1
Cre01.g006800_4532.1.v6.1,76,76,59,62,70,64
Cre01.g006850_4532.1.v6.1,5,5,13,4,0,0
Cre01.g006900_4532.2.v6.1,0,0,0,0,0,0
Cre01.g006900_4532.1.v6.1,58,49,69,113,119,131
Cre01.g800023_4532.1.v6.1,9,0,7,15,15,18
Cre01.g800024_4532.1.v6.1,7,3,7,17,20,20
Cre01.g800025_4532.1.v6.1,6,9,11,16,14,11
Cre01.g005050_4532.1.v6.1,0,0,0,0,0,0
Cre01.g005050_4532.11.v6.1,0,0,0,0,0,0
Cre01.g005100_4532.3.v6.1,0,22,0,0,0,20
Cre01.g005150_4532.7.v6.1,0,0,4,0,1,0
Cre01.g005150_4532.8.v6.1,0,0,1183,0,0,0
Cre01.g005050_4532.2.v6.1,1776,1728,404,1640,2109,251
Cre01.g005050_4532.3.v6.1,28,51,183,0,0,275
Cre01.g005050_4532.4.v6.1,165,320,317,115,157,0
Cre01.g005050_4532.8.v6.1,64,127,363,164,17,239
Cre01.g005050_4532.5.v6.1,19,325,264,8,0,314
Cre01.g005050_4532.6.v6.1,1350,1079,626,1112,827,682
Cre01.g005050_4532.9.v6.1,318,585,260,39,87,774
Cre01.g005050_4532.7.v6.1,15,13,93,0,0,132
Cre01.g005050_4532.10.v6.1,161,278,334,59,32,587
Cre01.g005100_4532.2.v6.1,33,18,27,24,33,25
Cre01.g005100_4532.1.v6.1,2,0,9,15,12,0
Cre01.g005150_4532.1.v6.1,648,581,384,238,394,30
Cre01.g005150_4532.2.v6.1,87,86,465,98,169,68
Cre01.g005150_4532.3.v6.1,165,226,1117,0,0,75
Cre01.g005150_4532.9.v6.1,138,57,178,14,103,24
Cre01.g005150_4532.6.v6.1,94,48,107,188,0,31
Cre01.g005150_4532.5.v6.1,30,31,553,152,152,312
Cre01.g005150_4532.4.v6.1,33,66,91,48,52,96
Cre01.g005150_4532.10.v6.1,138,149,735,240,143,561
Cre01.g007251_4532.2.v6.1,0,0,0,0,0,0
Cre01.g007251_4532.1.v6.1,41,7,3,13,13,12
Cre01.g007251_4532.3.v6.1,27,5,2,17,20,5
Cre01.g007300_4532.1.v6.1,70,12,18,52,194,70
Cre01.g007300_4532.2.v6.1,10,49,44,193,50,222
Cre01.g007350_4532.1.v6.1,158,235,60,11,9,8
Cre01.g007400_4532.1.v6.1,0,0,60,0,87,164
Cre01.g007450_4532.2.v6.1,0,0,0,0,41,41
Cre01.g007500_4532.2.v6.1,0,0,0,3,0,3
Cre01.g007400_4532.2.v6.1,57,45,33,200,103,116
Cre01.g007450_4532.1.v6.1,1,1,0,67,44,41
Cre01.g007500_4532.1.v6.1,19,17,41,65,78,94
Cre01.g007737_4532.1.v6.1,498,422,657,521,557,676
Cre01.g007774_4532.1.v6.1,151,129,92,91,110,124
Cre01.g007550_4532.2.v6.1,2,4,0,12,7,1
Cre01.g007550_4532.1.v6.1,78,55,57,62,63,77
Cre01.g007600_4532.1.v6.1,522,590,670,412,478,394
Cre01.g007651_4532.1.v6.1,136,189,76,78,85,103
Cre01.g007700_4532.1.v6.1,460,605,297,102,148,146
Cre01.g007000_4532.2.v6.1,0,52,5,0,0,27
Cre01.g007000_4532.3.v6.1,0,0,0,0,0,0
Cre01.g006950_4532.1.v6.1,977,856,1774,105,155,134
Cre01.g006950_4532.2.v6.1,274,203,505,35,0,25
Cre01.g007000_4532.1.v6.1,83,0,117,163,214,208
Cre01.g007050_4532.1.v6.1,181,142,203,315,353,365
Cre01.g007051_4532.1.v6.1,7286,7709,10932,8758,10339,10561
Cre01.g007100_4532.1.v6.1,86,91,89,78,118,126
Cre01.g007150_4532.1.v6.1,73,77,57,75,84,78
Cre01.g007200_4532.1.v6.1,153,176,216,227,240,232
Cre01.g008150_4532.1.v6.1,97,86,119,81,85,102
Cre01.g008150_4532.2.v6.1,2,1,0,5,3,3
Cre01.g008200_4532.1.v6.1,44,30,27,59,69,73
Cre01.g008100_4532.1.v6.1,301,324,141,92,113,121
Cre01.g008250_4532.1.v6.1,8,2,0,24,37,28
Cre01.g800027_4532.1.v6.1,10,10,9,32,42,31
Cre01.g800028_4532.1.v6.1,7,3,3,8,8,13
Cre01.g008300_4532.2.v6.1,0,0,0,410,510,0
Cre01.g008350_4532.2.v6.1,0,24,0,386,570,443
Cre01.g008300_4532.1.v6.1,2,3,4,5,0,153
Cre01.g008300_4532.3.v6.1,5,8,13,47,60,275
Cre01.g008350_4532.1.v6.1,33,0,12,157,75,60
Cre01.g008500_4532.2.v6.1,0,36,26,0,34,24
Cre01.g800029_4532.1.v6.1,10,12,8,15,35,21
Cre01.g800030_4532.1.v6.1,13,6,10,34,40,23
Cre01.g008450_4532.1.v6.1,75,130,36,14,8,16
Cre01.g008500_4532.1.v6.1,30,0,0,33,0,0
Cre01.g007950_4532.2.v6.1,0,0,0,141,76,35
Cre01.g007950_4532.3.v6.1,0,25,68,198,311,0
Cre01.g007950_4532.4.v6.1,0,0,0,0,0,0
Cre01.g008051_4532.2.v6.1,0,0,0,0,0,0
Cre01.g007811_4532.1.v6.1,52,63,32,53,61,50
Cre01.g007850_4532.1.v6.1,833,894,642,450,580,659
Cre01.g007901_4532.1.v6.1,230,305,206,37,325,317
Cre01.g007901_4532.2.v6.1,10,12,0,17,0,21
Cre01.g007901_4532.3.v6.1,33,127,143,314,147,100
Cre01.g007901_4532.4.v6.1,71,0,0,0,0,0
Cre01.g800026_4532.1.v6.1,388,472,735,435,490,653
Cre01.g007950_4532.1.v6.1,33,11,21,37,84,207
Cre01.g008000_4532.1.v6.1,32,30,19,21,37,41
Cre01.g008051_4532.1.v6.1,61,94,60,70,66,65
Cre01.g008900_4532.1.v6.1,3,2,4,3,7,6
Cre01.g800031_4532.1.v6.1,4,4,5,3,4,5
Cre01.g008550_4532.2.v6.1,0,0,83,0,0,59
Cre01.g008550_4532.4.v6.1,0,0,0,0,0,0
Cre01.g008550_4532.5.v6.1,0,50,22,0,0,0
Cre01.g008550_4532.1.v6.1,228,369,303,135,158,68
Cre01.g008550_4532.3.v6.1,172,150,271,16,0,79
Cre01.g008600_4532.1.v6.1,47,49,47,59,59,66
Cre01.g008650_4532.1.v6.1,141,166,84,147,186,188
Cre01.g008700_4532.1.v6.1,58,72,59,70,90,82
Cre01.g008750_4532.1.v6.1,3,0,0,3,7,4
Cre01.g008950_4532.2.v6.1,130,161,156,205,201,146
Cre01.g008950_4532.4.v6.1,16,23,8,12,14,13
Cre01.g008950_4532.3.v6.1,11,26,14,17,15,22
Cre01.g008950_4532.1.v6.1,5,5,0,7,7,0
Cre01.g009000_4532.1.v6.1,38,40,21,81,88,82
Cre01.g009000_4532.2.v6.1,10,4,15,13,7,8
Cre01.g800032_4532.1.v6.1,14,14,9,13,14,13
Cre01.g008800_4532.1.v6.1,27,17,12,21,33,28
Cre01.g008850_4532.2.v6.1,186,244,174,175,82,138
Cre01.g008850_4532.4.v6.1,32,20,9,3,72,50
Cre01.g008850_4532.3.v6.1,31,22,9,3,52,44
Cre01.g008850_4532.1.v6.1,379,382,251,178,275,342
Cre01.g008891_4532.2.v6.1,41,25,27,12,13,27
Cre01.g008891_4532.1.v6.1,10,9,19,24,24,12
Cre01.g009325_4532.1.v6.1,8,8,0,0,0,0
Cre01.g009250_4532.5.v6.1,0,3,0,0,0,0
Cre01.g009101_4532.1.v6.1,47,101,205,94,179,130
Cre01.g009101_4532.2.v6.1,63,0,49,94,0,25
Cre01.g009150_4532.1.v6.1,29,16,34,52,63,61
Cre01.g009200_4532.1.v6.1,14,27,13,6,3,8
Cre01.g009200_4532.2.v6.1,1,2,1,1,1,1
Cre01.g009250_4532.2.v6.1,1,0,0,0,0,0
Cre01.g009250_4532.3.v6.1,244,555,106,7,0,14
Cre01.g009250_4532.1.v6.1,9,0,0,0,0,0
Cre01.g009250_4532.4.v6.1,5,0,0,0,0,0
Cre01.g009400_4532.2.v6.1,0,0,0,0,18,41
Cre01.g009400_4532.3.v6.1,0,0,0,0,54,26
Cre01.g009400_4532.1.v6.1,3,0,9,318,288,281
Cre01.g009350_4532.6.v6.1,0,16,0,8,11,22
Cre01.g009350_4532.7.v6.1,0,21,0,7,17,14
Cre01.g009350_4532.5.v6.1,0,59,0,10,39,35
Cre01.g009350_4532.3.v6.1,0,4,0,11,29,128
Cre01.g009350_4532.4.v6.1,0,0,0,15,0,0
Cre01.g009350_4532.1.v6.1,143,12,222,92,86,11
Cre01.g009350_4532.2.v6.1,12,36,13,252,225,271
Cre01.g009550_4532.2.v6.1,0,0,0,0,0,0
Cre01.g009550_4532.1.v6.1,95,54,64,213,181,152
Cre01.g009300_4532.2.v6.1,0,0,217,0,0,0
Cre01.g009300_4532.1.v6.1,546,492,363,305,345,387
Cre01.g009450_4532.1.v6.1,26,27,33,22,31,36
Cre01.g009500_4532.1.v6.1,151,97,266,85,113,117
Cre01.g009575_4532.1.v6.1,7,8,7,14,22,14
Cre01.g800033_4532.1.v6.1,14,8,8,33,36,38
Cre01.g009765_4532.1.v6.1,0,0,3,4,2,0
Cre01.g009700_4532.2.v6.1,0,0,0,0,0,0
Cre01.g009700_4532.3.v6.1,0,0,0,0,0,0
Cre01.g009650_4532.1.v6.1,161,98,94,395,446,317
Cre01.g009700_4532.1.v6.1,68,83,35,34,62,93
Cre01.g009700_4532.4.v6.1,2,6,0,5,0,2
Cre01.g009731_4532.1.v6.1,22,34,17,20,31,22
Cre01.g010050_4532.1.v6.1,0,88,37,101,132,130
Cre01.g010050_4532.2.v6.1,71,0,52,0,0,0
Cre01.g010050_4532.3.v6.1,20,11,16,3,7,7
Cre01.g010050_4532.4.v6.1,16,5,11,9,6,7
Cre01.g010050_4532.5.v6.1,4,4,5,7,5,11
Cre01.g010050_4532.6.v6.1,9,2,5,7,5,11
Cre01.g010050_4532.7.v6.1,29,20,8,7,2,13
Cre01.g010050_4532.8.v6.1,4,14,7,10,67,11
Cre01.g010296_4532.1.v6.1,1,3,1,0,0,0
Cre01.g010300_4532.1.v6.1,18,33,9,6,4,6
Cre01.g800034_4532.1.v6.1,6,4,1,1,2,3
Cre01.g010100_4532.2.v6.1,0,0,0,0,30,38
Cre01.g010201_4532.2.v6.1,0,0,0,0,74,53
Cre01.g010100_4532.1.v6.1,152,185,143,127,122,197
Cre01.g010150_4532.1.v6.1,51,70,58,79,96,95
Cre01.g010201_4532.1.v6.1,89,91,61,118,34,43
Cre01.g010250_4532.4.v6.1,0,36,0,0,0,23
Cre01.g010250_4532.2.v6.1,0,6,0,0,0,6
Cre01.g010250_4532.3.v6.1,0,0,0,0,0,0
Cre01.g010250_4532.1.v6.1,114,97,54,39,60,55
Cre01.g800035_4532.1.v6.1,27,43,11,15,25,25
Cre01.g010350_4532.1.v6.1,82,70,93,58,72,79
Cre01.g009800_4532.2.v6.1,0,66,54,0,54,71
Cre01.g009850_4532.2.v6.1,0,0,0,43,56,0
Cre01.g009800_4532.1.v6.1,64,10,15,61,12,12
Cre01.g009850_4532.1.v6.1,66,81,74,1,0,63
Cre01.g009900_4532.1.v6.1,758,795,2124,1341,1433,1483
Cre01.g009900_4532.2.v6.1,92,23,112,107,140,121
